post_id	date	num_likes	num_angry	num_shares
211857482296579_1826486634166981	2020-03-22T18:47:55+0000	129465	112	23151
211857482296579_1826339070848404	2020-03-22T16:30:39+0000	52238	43	5703
211857482296579_1826130007535977	2020-03-22T13:37:26+0000	97986	65	11818
211857482296579_1825937284221916	2020-03-22T11:07:01+0000	165539	68	39284
211857482296579_1825422034273441	2020-03-22T02:06:48+0000	162513	509	27236
211857482296579_1825061764309468	2020-03-21T22:22:48+0000	305358	1267	40794
211857482296579_1824728371009474	2020-03-21T18:36:01+0000	215237	431	201803
211857482296579_1824261207722857	2020-03-21T11:33:30+0000	106117	624	33971
211857482296579_1823872341095077	2020-03-21T02:37:00+0000	112873	1121	9174
211857482296579_1823743497774628	2020-03-21T00:16:41+0000	79762	160	8150
211857482296579_1823657957783182	2020-03-20T22:45:20+0000	36696	55	8900
211857482296579_1823512861131025	2020-03-20T20:20:22+0000	34117	116	3614
211857482296579_1823438294471815	2020-03-20T18:55:59+0000	15700	55	2073
211857482296579_1823387084476936	2020-03-20T18:07:20+0000	16806	30	2306
211857482296579_1823236217825356	2020-03-20T15:32:31+0000	36271	17	7882
211857482296579_1823100707838907	2020-03-20T13:18:11+0000	32796	33	4415
211857482296579_723735751493984	2020-03-20T11:34:07+0000	74812	346	8333
211857482296579_509554709993434	2020-03-19T22:00:27+0000	150117	769	32736
211857482296579_1822088181273493	2020-03-19T21:21:03+0000	29686	37	4897
211857482296579_1821788831303428	2020-03-19T16:57:26+0000	53058	33	7491
211857482296579_1821712267977751	2020-03-19T16:12:40+0000	116720	57	12982
211857482296579_1821591271323184	2020-03-19T15:03:27+0000	136425	182	31052
211857482296579_1821573884658256	2020-03-19T14:51:31+0000	39823	16	7806
211857482296579_1821472074668437	2020-03-19T13:32:16+0000	54441	13	6399
211857482296579_1821398298009148	2020-03-19T12:27:24+0000	64795	61	6533
211857482296579_1821348991347412	2020-03-19T11:48:24+0000	42221	43	3424
211857482296579_1820568708092107	2020-03-19T00:42:50+0000	411630	357	20671
211857482296579_1820420414773603	2020-03-18T22:10:34+0000	22013	54	3265
211857482296579_1820091434806501	2020-03-18T17:47:39+0000	25955	81	5698
211857482296579_1820088341473477	2020-03-18T17:46:30+0000	22562	27	3162
211857482296579_1819973901484921	2020-03-18T17:05:36+0000	100965	857	14521
211857482296579_1819888148160163	2020-03-18T17:01:40+0000	72008	30	20938
211857482296579_1819932834822361	2020-03-18T16:35:13+0000	28031	14	4024
211857482296579_1819847714830873	2020-03-18T15:22:33+0000	63417	74	24342
211857482296579_1819789698170008	2020-03-18T14:36:00+0000	84120	36	16195
211857482296579_1819534424862202	2020-03-18T10:36:26+0000	79454	135	7238
211857482296579_1818929858255992	2020-03-18T00:45:57+0000	388893	255	67725
211857482296579_1807043002763728	2020-03-17T20:30:08+0000	91446	597	13550
211857482296579_1818510568297921	2020-03-17T19:05:34+0000	43753	27	3157
211857482296579_1818227324992912	2020-03-17T15:22:46+0000	79495	97	10468
211857482296579_1818111105004534	2020-03-17T13:52:01+0000	55902	58	11856
211857482296579_1817907728358205	2020-03-17T10:47:05+0000	28347	22	2721
211857482296579_1817488358400142	2020-03-17T01:31:36+0000	48469	37	6429
211857482296579_1817379455077699	2020-03-16T23:37:44+0000	24345	31	4996
211857482296579_1817288781753433	2020-03-16T22:04:20+0000	43021	42	3740
211857482296579_1817036065112038	2020-03-16T18:04:08+0000	163166	1054	60743
211857482296579_1816294725186172	2020-03-16T01:46:27+0000	157696	351	56828
211857482296579_1816197068529271	2020-03-16T00:36:44+0000	61703	123	10753
211857482296579_1816088945206750	2020-03-15T23:18:46+0000	32424	129	3798
211857482296579_1816059891876322	2020-03-15T23:01:48+0000	32499	107	4328
211857482296579_1816021345213510	2020-03-15T22:42:16+0000	52336	174	10216
211857482296579_1815978358551142	2020-03-15T22:17:51+0000	27895	75	4427
211857482296579_1815946038554374	2020-03-15T22:03:31+0000	75898	96	19590
211857482296579_1815856178563360	2020-03-15T21:15:50+0000	73039	174	24664
211857482296579_1815829298566048	2020-03-15T21:05:52+0000	38457	84	7895
211857482296579_1815804728568505	2020-03-15T20:55:59+0000	44276	66	10291
211857482296579_1815759655239679	2020-03-15T20:39:18+0000	58528	110	14868
211857482296579_1815735821908729	2020-03-15T20:30:16+0000	43170	65	12577
211857482296579_1815702975245347	2020-03-15T20:19:12+0000	85381	183	25761
211857482296579_1815676395248005	2020-03-15T20:09:40+0000	26851	42	5367
211857482296579_1815651175250527	2020-03-15T20:00:35+0000	35568	42	4254
211857482296579_1815634601918851	2020-03-15T19:54:21+0000	63763	81	10585
211857482296579_1815598438589134	2020-03-15T19:41:47+0000	47030	71	14563
211857482296579_1815561255259519	2020-03-15T19:27:30+0000	68861	98	10105
211857482296579_1815534685262176	2020-03-15T19:18:33+0000	46469	61	17963
211857482296579_1815457265269918	2020-03-15T18:45:38+0000	29958	50	5500
211857482296579_1815413055274339	2020-03-15T18:28:36+0000	67225	143	13581
211857482296579_1815363348612643	2020-03-15T18:12:34+0000	87095	118	41414
211857482296579_1815329848615993	2020-03-15T18:01:18+0000	36938	53	4439
211857482296579_1815242945291350	2020-03-15T17:34:28+0000	180750	252	37341
211857482296579_1815200175295627	2020-03-15T17:22:00+0000	49530	55	14435
211857482296579_1815147081967603	2020-03-15T17:12:54+0000	83637	102	14967
211857482296579_1815031205312524	2020-03-15T16:49:03+0000	42316	67	12096
211857482296579_1814988555316789	2020-03-15T16:41:46+0000	40807	62	10771
211857482296579_1814938255321819	2020-03-15T16:33:12+0000	45450	71	12839
211857482296579_1814851211997190	2020-03-15T16:21:04+0000	29687	52	6971
211857482296579_1814705402011771	2020-03-15T16:07:26+0000	104919	216	31515
211857482296579_1271951536337594	2020-03-15T16:06:23+0000	149571	693	66847
211857482296579_1814654165350228	2020-03-15T15:46:59+0000	53782	70	21564
211857482296579_1814597675355877	2020-03-15T15:32:14+0000	55511	76	22761
211857482296579_1814589332023378	2020-03-15T15:30:08+0000	68538	114	21421
211857482296579_1814579472024364	2020-03-15T15:26:59+0000	51807	74	17711
211857482296579_1814506578698320	2020-03-15T15:03:27+0000	101576	168	33434
211857482296579_1814476418701336	2020-03-15T14:52:36+0000	126005	144	28135
211857482296579_1814428858706092	2020-03-15T14:35:10+0000	38250	65	7944
211857482296579_1814419192040392	2020-03-15T14:31:54+0000	124292	346	35537
211857482296579_1814390062043305	2020-03-15T14:22:12+0000	63398	92	27234
211857482296579_1814376822044629	2020-03-15T14:18:18+0000	98025	277	45240
211857482296579_1814359725379672	2020-03-15T14:11:33+0000	64449	94	24100
211857482296579_1814294398719538	2020-03-15T13:26:18+0000	86800	152	21827
211857482296579_1814252775390367	2020-03-15T12:57:43+0000	115994	137	58332
211857482296579_1814196912062620	2020-03-15T12:05:06+0000	37064	14	3957
211857482296579_1813726548776323	2020-03-14T22:35:00+0000	33088	19	6551
211857482296579_1813613988787579	2020-03-14T19:46:53+0000	47852	15	4785
211857482296579_1813330172149294	2020-03-14T14:16:00+0000	49962	17	6124
211857482296579_1813188408830137	2020-03-14T11:27:37+0000	97597	17	18823
211857482296579_1812666232215688	2020-03-13T20:57:08+0000	22841	6	1992
211857482296579_1812332762249035	2020-03-13T15:49:42+0000	103894	34	8054
211857482296579_1812269335588711	2020-03-13T15:30:46+0000	188086	148	41460
211857482296579_1812196862262625	2020-03-13T14:14:06+0000	45289	14	4023
211857482296579_1812143965601248	2020-03-13T13:15:51+0000	41870	33	3110
211857482296579_507378069974653	2020-03-12T22:19:31+0000	81881	193	11597
211857482296579_885793518527705	2020-03-12T21:59:13+0000	60625	303	12276
211857482296579_1810857175729927	2020-03-12T10:43:06+0000	44701	19269	7907
211857482296579_1810207302461581	2020-03-11T17:02:16+0000	75737	32	7346
211857482296579_1810111902471121	2020-03-11T15:06:42+0000	25345	12	4411
211857482296579_200131397749965	2020-03-11T11:55:13+0000	71171	56	7560
211857482296579_1809866612495650	2020-03-11T10:38:16+0000	41652	11	10154
211857482296579_1809431005872544	2020-03-10T23:40:18+0000	32130	8	4228
211857482296579_1809376362544675	2020-03-10T22:24:22+0000	25010	15	2185
211857482296579_1809219075893737	2020-03-10T19:26:52+0000	49345	33	6455
211857482296579_1809147599234218	2020-03-10T18:05:11+0000	60694	26	2635
211857482296579_1808994299249548	2020-03-10T15:18:52+0000	51480	28	6796
211857482296579_1808905169258461	2020-03-10T13:52:05+0000	29880	6	2129
211857482296579_1808741289274849	2020-03-10T10:46:10+0000	30834	10	2384
211857482296579_231986938199681	2020-03-09T21:49:51+0000	59138	73	10223
211857482296579_1808073599341618	2020-03-09T21:00:01+0000	188400	43192	60604
211857482296579_1807894462692865	2020-03-09T17:08:11+0000	58571	36	5111
211857482296579_1807801266035518	2020-03-09T15:32:08+0000	35849	27	5334
211857482296579_1807761076039537	2020-03-09T14:53:30+0000	64125	23	7927
211857482296579_1807660869382891	2020-03-09T13:01:27+0000	37207	15	1504
211857482296579_1807494992732812	2020-03-09T09:40:57+0000	67515	25	11561
211857482296579_560107881381554	2020-03-08T20:09:17+0000	77857	61	11832
211857482296579_1806723239476654	2020-03-08T16:02:41+0000	138222	141	32528
211857482296579_1806477182834593	2020-03-08T12:01:18+0000	73328	13	5431
211857482296579_1806431886172456	2020-03-08T11:13:27+0000	57909	27	11517
211857482296579_1806088302873481	2020-03-08T02:40:17+0000	87652	39	13967
211857482296579_1805932246222420	2020-03-07T23:58:03+0000	81931	114	7036
211857482296579_1805700319578946	2020-03-07T19:40:01+0000	68118	416	56973
211857482296579_1805457539603224	2020-03-07T14:44:43+0000	87194	148	21045
211857482296579_1805344996281145	2020-03-07T13:01:36+0000	41763	9	10977
211857482296579_1805181722964139	2020-03-07T09:24:53+0000	41371	10	7147
211857482296579_1804753873006924	2020-03-06T22:21:54+0000	86711	64	8613
211857482296579_1804723139676664	2020-03-06T21:58:57+0000	147445	59	11912
211857482296579_1804343883047923	2020-03-06T14:28:49+0000	84085	17	20340
211857482296579_1804139343068377	2020-03-06T11:35:28+0000	32923	1473	6522
211857482296579_1804010173081294	2020-03-06T08:58:15+0000	59316	13	8525
211857482296579_1803518126463832	2020-03-06T00:12:28+0000	33997	9	4338
211857482296579_1803591849789793	2020-03-05T23:59:14+0000	23921	6	3017
211857482296579_199296734498691	2020-03-05T21:57:48+0000	74934	181	12304
211857482296579_1803198556495789	2020-03-05T19:46:50+0000	21104	23	3541
211857482296579_1802986293183682	2020-03-05T16:27:07+0000	41509	21	2234
211857482296579_1802875479861430	2020-03-05T14:54:14+0000	59778	8	16706
211857482296579_1802658596549785	2020-03-05T11:17:59+0000	54507	22	6167
211857482296579_1802185139930464	2020-03-04T23:18:53+0000	77794	32	5984
211857482296579_1802075903274721	2020-03-04T20:51:51+0000	26720	9	1721
211857482296579_1801921553290156	2020-03-04T17:37:58+0000	27810	7	3292
211857482296579_1801847606630884	2020-03-04T16:16:34+0000	27914	7	1744
211857482296579_520246752243739	2020-03-04T12:37:17+0000	111789	603	31582
211857482296579_1801507083331603	2020-03-04T10:22:47+0000	43687	18	3911
211857482296579_1801207396694905	2020-03-04T01:29:22+0000	38186	9	2486
211857482296579_1801043620044616	2020-03-03T22:10:34+0000	75355	80	16254
211857482296579_1801006353381676	2020-03-03T21:28:33+0000	77929	165	3619
211857482296579_1800723696743275	2020-03-03T15:07:16+0000	72532	34	21068
211857482296579_1800596260089352	2020-03-03T12:25:17+0000	30730	10	2398
211857482296579_1800481930100785	2020-03-03T10:13:17+0000	56444	19	4424
211857482296579_1800184796797165	2020-03-03T01:14:32+0000	29038	11	4550
211857482296579_1800052803477031	2020-03-02T23:00:57+0000	62259	10	5825
211857482296579_1799967083485603	2020-03-02T20:13:35+0000	36657	8	3995
