post_id	date	message	num_likes	num_angry	num_shares
211857482296579_1826486634166981	2020-03-22T18:47:55+0000	"- Agora, por v\u00eddeoconfer\u00eancia, o Presidente Jair Bolsonaro e o Presidente do BNDES  anunciam medidas para a manuten\u00e7\u00e3o de empregos:\n\n. Transfer\u00eancia de R$ 20 bilh\u00f5es da conta PIS/PASEP para o FGTS.\n. Refinanciamentos e novas linhas de cr\u00e9ditos com recursos na ordem de R$ 35 bilh\u00f5es."	129465	112	23151
211857482296579_1826339070848404	2020-03-22T16:30:39+0000	"- As inscri\u00e7\u00f5es para a sele\u00e7\u00e3o de 5.800 profissionais para atua\u00e7\u00e3o no programa Mais M\u00e9dicos e a renova\u00e7\u00e3o da ades\u00e3o de munic\u00edpios foram prorrogadas e v\u00e3o at\u00e9 domingo (22/03), \u00e0s 18h. \n\n.Detalhes: https://t.co/GyLntPiXH4.\n\nMinist\u00e9rio da Sa\u00fade"	52238	43	5703
211857482296579_1826130007535977	2020-03-22T13:37:26+0000	"- Estamos no Minist\u00e9rio da Sa\u00fade com o Ministro Mandetta, em reuni\u00e3o virtual sobre o covid -19, com Prefeitos de capitais do Brasil. Alinhamento de ideias, explica\u00e7\u00f5es e troca de experi\u00eancias no combate ao coronavirus.\n\n. Minist\u00e9rio da Sa\u00fade\n. Flavio Bolsonaro"	97986	65	11818
211857482296579_1825937284221916	2020-03-22T11:07:01+0000	"- O Governo Federal distribui milh\u00f5es de testes r\u00e1pidos de Covid-19 por todo o Brasil, a serem aplicados em pontos de f\u00e1cil acesso \u00e0 popula\u00e7\u00e3o. S\u00e3o aproximadamente 10 milh\u00f5es de testes no total. Cinco milh\u00f5es enviados para todos os estados ainda em mar\u00e7o.\n\n- Por meio de parcerias, como an\u00fancios de empres\u00e1rios que cada dia se colocam mais a disposi\u00e7\u00e3o para que juntos possamos minimizar os impactos do covid19, os testes r\u00e1pidos poder\u00e3o ser realizados em locais de f\u00e1cil acesso, como farm\u00e1cias, escolas e postos de drive-thru. As amostras s\u00e3o coletadas sem que o paciente saia do seu pr\u00f3prio ve\u00edculo, uma estrat\u00e9gia adotada com sucesso na Coreia do Sul."	165539	68	39284
211857482296579_1825422034273441	2020-03-22T02:06:48+0000	"- Isso se chama precau\u00e7\u00e3o. O medicamento \u00e9 barato e caso venha a ser comprovada a efic\u00e1cia no combate \u00e0 Covid-19, estaremos preparados para atender a todos os brasileiros rapidamente. \n\n- Ainda que os testes do medicamento apresentem inefic\u00e1cia no tratamento espec\u00edfico ao coronav\u00edrus, ele j\u00e1 \u00e9 comprovadamente eficaz no combate a outros tipos de doen\u00e7a, como a mal\u00e1ria, constando, inclusive, no guia de vigil\u00e2ncia epidemiol\u00f3gica atualizado.\n\n- Enquanto uns seguem buscando o caos, seguimos buscando solu\u00e7\u00f5es para proteger a nossa na\u00e7\u00e3o!"	162513	509	27236
211857482296579_1825061764309468	2020-03-21T22:22:48+0000	"- Reconhe\u00e7o a seriedade do momento e o temor de muitos brasileiros ante a amea\u00e7a do coronav\u00edrus. O Governo segue trabalhando intensamente e tomar\u00e1 todas as medidas poss\u00edveis para conter a transmiss\u00e3o do Covid-19.\n\n- Tamb\u00e9m \u00e9 meu dever impedir que o p\u00e2nico tome conta do pa\u00eds, o que complicaria ainda mais a situa\u00e7\u00e3o. \u00c9 com este objetivo, de mostrar que superaremos este obst\u00e1culo, que tenho tratado a quest\u00e3o com coragem e tranquilidade. De forma alguma usarei do momento para fazer demagogia.\n\n- De todo modo, \u00e0s fam\u00edlias que hoje sofrem a perda de seus entes por conta desta epidemia, a minha solidariedade. Essas perdas tamb\u00e9m s\u00e3o nossas, afinal, somos todos uma grande fam\u00edlia. Dou-lhes a certeza de que lutarei com todas as minhas for\u00e7as para proteger a nossa na\u00e7\u00e3o.\n\n- Pe\u00e7o a Deus que nos d\u00ea cada vez mais sabedoria para enfrentarmos essa tempestade. Pe\u00e7o a todos que sigam as recomenda\u00e7\u00f5es de sa\u00fade com muita serenidade, e que n\u00e3o percam a f\u00e9 em Deus e em nosso amado Brasil. Tenho certeza que venceremos esta batalha brevemente!"	305358	1267	40794
211857482296579_1824728371009474	2020-03-21T18:36:01+0000	"- Hospital Albert Einstein e a poss\u00edvel cura dos pacientes com o Covid-19.\n\n. Link no youtube: https://youtu.be/BrIZ0kFeV4o"	215237	431	201803
211857482296579_1824261207722857	2020-03-21T11:33:30+0000	"- Dois dedos de prosa com Ratinho.\n- Assista:\n\n. Link no youtube: https://youtu.be/ivLqXxTkP3M"	106117	624	33971
211857482296579_1823872341095077	2020-03-21T02:37:00+0000	"- Assinei Medida Provis\u00f3ria deixando claro ser de compet\u00eancia Federal, observando crit\u00e9rios t\u00e9cnicos e respons\u00e1veis, a defini\u00e7\u00e3o sobre fechamento, ou n\u00e3o, de aeroportos e rodovias/estradas federais."	112873	1121	9174
211857482296579_1823743497774628	2020-03-21T00:16:41+0000	"Via Eduardo Bolsonaro"	79762	160	8150
