collection_started: 2020-04-04--13-21-17
already_collected: 904277726319518_2878974912183113
already_collected: 904277726319518_2878783568868914
already_collected: 904277726319518_2875616525852285
already_collected: 904277726319518_2872245456189392
already_collected: 904277726319518_2871255852955019
already_collected: 904277726319518_2868531243227480
already_collected: 904277726319518_2863199017094036
already_collected: 904277726319518_2862087573871847
already_collected: 904277726319518_2858610960886175
already_collected: 904277726319518_2855332637880674
already_collected: 904277726319518_2855299197884018
already_collected: 904277726319518_2852021088211829
already_collected: 904277726319518_2847768221970449
already_collected: 904277726319518_2844398988974039
already_collected: 904277726319518_2842368455843759
already_collected: 904277726319518_2839135976167007
already_collected: 904277726319518_2838092716271333
already_collected: 904277726319518_2837850746295530
already_collected: 904277726319518_2837302123017059
already_collected: 904277726319518_2836859526394652
already_collected: 904277726319518_2835867573160514
already_collected: 904277726319518_2833631630050775
already_collected: 904277726319518_2833315943415677
already_collected: 904277726319518_2832460256834579
already_collected: 904277726319518_2831565216924083
already_collected: 904277726319518_2829292070484731
already_collected: 904277726319518_2822205094526762
already_collected: 904277726319518_2820908857989719
already_collected: 904277726319518_2819007631513175
already_collected: 904277726319518_2817903148290290
already_collected: 904277726319518_2816086435138628
already_collected: 904277726319518_2815993118481293
already_collected: 904277726319518_2813976112016327
already_collected: 904277726319518_2812827805464491
already_collected: 904277726319518_2812792968801308
already_collected: 904277726319518_2808076015939670
already_collected: 904277726319518_2806271942786744
already_collected: 904277726319518_2803986739681931
already_collected: 904277726319518_2800724786674793
already_collected: 904277726319518_2798299066917365
already_collected: 904277726319518_2798081073605831
already_collected: 904277726319518_2797774900303115
already_collected: 904277726319518_2794272223986716
already_collected: 904277726319518_2788143047932967
already_collected: 904277726319518_2787053274708611
already_collected: 904277726319518_2781359461944659
already_collected: 904277726319518_2780344738712798
already_collected: 904277726319518_2774713159275956
already_collected: 904277726319518_2774602482620357
already_collected: 904277726319518_2771145596299379
already_collected: 904277726319518_2767920453288560
already_collected: 904277726319518_2762416943838911
already_collected: 904277726319518_2762413740505898
already_collected: 904277726319518_2759272564153349
already_collected: 904277726319518_2748169108597028
already_collected: 904277726319518_2745934372153835
already_collected: 904277726319518_2743657325714873
already_collected: 904277726319518_2740611092686163
already_collected: 904277726319518_2735834633163809
already_collected: 904277726319518_2732180580195881
already_collected: 904277726319518_2731984840215455
already_collected: 904277726319518_2728687927211813
already_collected: 904277726319518_2725475510866388
already_collected: 904277726319518_2724480117632594
already_collected: 904277726319518_482776805692148
already_collected: 904277726319518_2716175305129742
already_collected: 904277726319518_2716032381810701
already_collected: 904277726319518_2713590142054925
already_collected: 904277726319518_2712145788866027
already_collected: 904277726319518_2708048415942431
already_collected: 904277726319518_1042647922746492
already_collected: 904277726319518_2698848960195710
already_collected: 904277726319518_2697696636977609
already_collected: 904277726319518_2688844101196196
already_collected: 904277726319518_2687191001361506
already_collected: 904277726319518_1694779503985268
already_collected: 904277726319518_2681682781912328
already_collected: 904277726319518_2671431079604165
already_collected: 904277726319518_2670632116350728
already_collected: 904277726319518_2665632440184029
already_collected: 904277726319518_2665370230210250
already_collected: 904277726319518_2665184326895507
already_collected: 904277726319518_2658779977535942
already_collected: 904277726319518_2656883197725620
already_collected: 904277726319518_467618857207259
already_collected: 904277726319518_2654140924666514
already_collected: 904277726319518_2653317308082209
already_collected: 904277726319518_2149882978649266
already_collected: 904277726319518_556456315181560
already_collected: 904277726319518_2649510065129600
already_collected: 904277726319518_2639518476128759
already_collected: 904277726319518_2638532779560662
already_collected: 904277726319518_2638485776232029
already_collected: 904277726319518_2637395089674431
already_collected: 904277726319518_2636527093094564
already_collected: 904277726319518_2634874279926512
already_collected: 904277726319518_2634034716677135
already_collected: 904277726319518_2630865796994027
already_collected: 904277726319518_2630575127023094
already_collected: 904277726319518_2627444690669471
already_collected: 904277726319518_731504774018175
already_collected: 904277726319518_2623440541069886
already_collected: 904277726319518_2619643821449558
already_collected: 904277726319518_2618982318182375
already_collected: 904277726319518_2617832678297339
already_collected: 904277726319518_2616925681721372
already_collected: 904277726319518_2615437628536844
already_collected: 904277726319518_2611138895633384
already_collected: 904277726319518_2608922922521648
already_collected: 904277726319518_1684979824972538
already_collected: 904277726319518_2606606279419979
already_collected: 904277726319518_2606466012767339
already_collected: 904277726319518_2604230622990878
already_collected: 904277726319518_2601016843312256
already_collected: 904277726319518_2598018730278734
already_collected: 904277726319518_2596763903737550
already_collected: 904277726319518_2144775529158964
already_collected: 904277726319518_2589677814446159
already_collected: 904277726319518_2589554634458477
already_collected: 904277726319518_2588117911268816
already_collected: 904277726319518_1102027703336820
already_collected: 904277726319518_2581943135219627
already_collected: 904277726319518_2581427951937812
already_collected: 904277726319518_2581159065298034
already_collected: 904277726319518_398898817455763
already_collected: 904277726319518_2578288925585048
already_collected: 904277726319518_2575198442560763
already_collected: 904277726319518_2575088749238399
already_collected: 904277726319518_2573723706041570
already_collected: 904277726319518_2573723479374926
already_collected: 904277726319518_2568484353232172
already_collected: 904277726319518_2568274006586540
already_collected: 904277726319518_2567486246665316
